id,keywords,date,nbComments,nbView,nbStars,nbVotes,source
25167,Cuba;États-Unis;International;Internet,2014-05-06 00:00:00,8,8782,4,32,theguardian.com
25301,Allemagne;France;International;Politique;Syrie,2014-05-13 00:00:00,47,11299,2,115,undefined
26913,France;Histoire;Nationalisme;Politique,2014-07-26 00:00:00,77,28376,5,258,E&R
27020,Gilad Atzmon;International;Israël;Palestine;Sionisme,2014-07-31 00:00:00,47,42886,5,217,gilad.co.uk
25456,Félix Niesche;France;Front national;Immigration;LRPS;Marine Le Pen;Politique,2014-05-26 00:00:00,81,21173,5,283,undefined
26711,Félix Niesche;International;Israël;Judaïsme;Palestine,2014-07-17 00:00:00,66,17200,5,167,undefined
26426,Gilad Atzmon;Communautés;International;Israël;Palestine;Religion,2014-07-03 00:00:00,11,7567,5,58,undefined
25412,Économie;France;Santé;Science,2014-05-18 00:00:00,58,30392,5,252,undefined
25838,Laurent Guyénot;911;États-Unis;International;Israël;Renseignement,2014-06-05 00:00:00,92,65338,5,409,undefined
25527,Damien Viguier;France;International;Justice & Droit;Politique;Syrie,2014-05-23 00:00:00,13,3739,5,39,Exclusivité E&R
25591,Yannick Jaffré;Économie;France;Histoire;Politique;Russie;Vladimir Poutine,2014-05-26 00:00:00,30,22424,5,146,Kontre Kulture
26054,Rédaction E&R;France;François Hollande;Front national;LRPS;Médias;Politique;Seconde Guerre mondiale,2014-06-16 00:00:00,51,32447,5,170,undefined
27017,Félix Niesche;France;Histoire,2014-07-31 00:00:00,41,26148,5,181,undefined
25482,International;Politique;Union européenne,2014-05-21 00:00:00,16,6222,2,50,ermidipyrenees.hautetfort.com
26178,Félix Niesche;Politique;Société,2014-06-25 00:00:00,30,8821,5,115,undefined
26555,Gilad Atzmon;Communautés;Israël;Judaïsme;Palestine;Sionisme,2014-07-09 00:00:00,22,23380,5,106,gilad.co.uk
27058,International;Israël;Judaïsme;Palestine,2014-08-02 00:00:00,74,61916,3,293,undefined
26005,Rédaction E&R;France;Politique;Sionisme,2014-06-13 00:00:00,32,27558,5,184,undefined
26163,Louis Alexandre;Espagne;France;Histoire;Politique,2014-06-20 00:00:00,10,7996,5,38,undefined
26404,Santé,2014-07-03 00:00:00,27,8766,5,136,E&R ÎleundefineddeundefinedFrance
27084,International;Israël;Nicaragua;Palestine,2014-08-04 00:00:00,34,17650,5,186,rt.com
26942,Défense;International;Israël;Palestine,2014-07-28 00:00:00,25,19714,5,102,undefined
25905,Christianisme;Franc-maçonnerie;Politique;Religion,2014-06-09 00:00:00,115,14516,5,155,laportelatine.org
26837,Défense;États-Unis;International;Russie;Ukraine,2014-07-23 00:00:00,39,26834,5,114,consortiumnews.com
25512,Dieudonné;Justice & Droit;Quenelle,2014-05-22 00:00:00,35,35914,2,146,Faits & Documents
25598,Rédaction E&R;Attentat de Bruxelles (mai 2014);Communautés;France;Israël;Persécutions !,2014-05-26 00:00:00,271,57311,1,465,undefined
26919,International;Israël;Palestine,2014-07-27 00:00:00,15,16514,5,136,counterpunch.org
26287,Rédaction E&R;Humour;International;Politique,2014-06-26 00:00:00,59,39086,5,276,undefined
26181,Rédaction E&R;Économie;Énergie;États-Unis;International;Irak;Israël;Maroc;Turquie,2014-06-21 00:00:00,13,6791,4,29,undefined
25579,Rédaction E&R;Politique;Union européenne,2014-05-25 00:00:00,139,36682,5,280,undefined
26611,Rédaction E&R;Humour;Médias;Politique,2014-07-12 00:00:00,29,19741,5,108,undefined
26701,Gilad Atzmon;International;Israël;Judaïsme;Palestine;Sionisme,2014-07-16 00:00:00,35,35584,5,259,silviacattori.net
25836,Rédaction E&R;France;International;Médias;Russie;Vladimir Poutine,2014-06-05 00:00:00,99,54231,3,215,undefined
27090,Gilad Atzmon;International;Israël;Judaïsme;Palestine;Sionisme,2014-08-04 00:00:00,37,20360,5,243,gilad.co.uk
25932,Romain R.;Agriculture;Mondialisme,2014-06-10 00:00:00,33,16242,5,92,undefined
27155,Algérie;Égypte;International;Libye,2014-08-07 00:00:00,59,20656,4,82,middleeastmonitor.com
26851,International;Israël;Palestine,2014-07-23 00:00:00,81,76179,2,179,The Jewish Daily Forward
26650,Rédaction E&R;France;Immigration;International;Irak;Israël;Palestine;Politique,2014-07-14 00:00:00,25,27363,5,89,undefined
25779,Rédaction E&R;France;International;Liban;OTAN;Syrie,2014-06-03 00:00:00,30,8273,5,118,undefined
26999,États-Unis;Extrême gauche;International;Israël;Palestine;Politique;Royaume-Uni;Sionisme,2014-07-30 00:00:00,51,17683,4,75,undefined
25717,France;Justice & Droit;Médias;Pédocriminalité,2014-05-31 00:00:00,23,22729,5,110,undefined
27247,Rédaction E&R;Cinéma;Culture;Médias;Sionisme,2014-08-13 00:00:00,36,20124,5,137,undefined
26331,Rédaction E&R;France;Israël;Liberté d’expression;Médias;Palestine;Politique,2014-06-28 00:00:00,11,18831,5,128,undefined
26534,Rédaction E&R;BHL;France;International;Judaïsme;Médias;Services publics;Sionisme,2014-07-08 00:00:00,50,55159,5,184,undefined
27166,Féminisme;France;Société;Suisse,2014-08-08 00:00:00,73,33985,5,161,Propos recueillis par Alimuddin Usmani
27313,BHL;Chine;François Hollande;Humour;International;Israël;Palestine;Russie;Vladimir Poutine;Zéon,2014-08-17 00:00:00,21,34621,5,169,undefined
26397,France;Insolite;International;Social;Société,2014-07-01 00:00:00,93,67273,5,509,undefined
26468,Rédaction E&R;France;Internet;Médias;Politique;Presse,2014-07-05 00:00:00,34,20830,5,124,undefined
26084,Attentat de Bruxelles (mai 2014);Économie;France;JMLP;Manuel Valls;Politique;Sport,2014-06-16 00:00:00,62,71765,5,509,undefined
26044,Humour;Politique,2014-06-15 00:00:00,31,34058,5,180,undefined
